Member,Party,State,Congress,Resignation Date,Reason
George Murphy,R,CA,91st,1/2/1971,Lost reelection bid & left early; unclear why
Elaine Edwards,D,LA,92nd,11/13/1972,Appointment was expiring; resigned to let successor start early
Bill Saxbe,R,OH,93rd,1/3/1974,Appointed to Nixon administration
Alan Bible,D,NV,93rd,12/17/1974,Retired; resigned early to give successor seniority
Wallace Bennett,R,UT,93rd,12/20/1974,Retired; resigned early to give successor seniority
Howard Metzenbaum,D,OH,93rd,12/23/1974,Appointment was expiring; resigned to let successor start early
Marlow Cook,R,KY,93rd,12/27/1974,Lost reelection bid; resigned to let successor start early
Ed Gurney,R,FL,93rd,12/31/1974,"Retired; might've left early for pension, seniority, or indictment"
J. William Fulbright,D,AR,93rd,12/31/1974,Lost reelection bid; quit to go on vacation & receive higher pension
Norris Cotton,R,NH,93rd,12/31/1974,Retired; might've left early for pension or to force R appointment in controversial NH-SEN
Sam Ervin,D,NC,93rd,12/31/1974,Retired; resigned early to receive higher pension
Norris Cotton,R,NH,94th,9/18/1975,To yield to the winner of the controversial NH-SEN re-vote
Roman Hruska,R,NE,94th,12/27/1976,Retired; resigned early to give successor seniority
Stuart Symington,D,MO,94th,12/27/1976,Retired; resigned early to give successor seniority
John Pastore,D,RI,94th,12/28/1976,Retired; resigned early to give successor seniority
Robert Taft Jr.,R,OH,94th,12/28/1976,Lost reelection bid; resigned to let successor start early
Walter Mondale,D,MN,94th,12/30/1976,Elected vice president
John Tunney,D,CA,94th,1/1/1977,Lost reelection bid; resigned to let successor start early
Maryon Allen,D,AL,95th,11/7/1978,Appointment was expiring; resigned to let successor start early
Muriel Humphrey,D,MN,95th,11/7/1978,Appointment was expiring; resigned to let successor start early
Paul Hatfield,D,MT,95th,12/14/1978,Appointment was expiring; resigned to let successor start early
James Pearson,R,KS,95th,12/23/1978,Retired; resigned early to give successor seniority
James Eastland,D,MS,95th,12/27/1978,Retired; resigned early to give successor seniority
Wendell Anderson,D,MN,95th,12/29/1978,Lost reelection bid; resigned to let successor start early
Clifford Hansen,R,WY,95th,12/31/1978,Retired; resigned early to give successor seniority
William Scott,R,VA,95th,1/1/1979,Retired; resigned early to give successor seniority
Ed Muskie,D,ME,96th,5/7/1980,Appointed to Carter administration
John Durkin,D,NH,96th,12/29/1980,Lost reelection bid; resigned to let successor start early
Dick Stone,D,FL,96th,12/31/1980,Lost reelection bid; resigned to let successor start early
Donald Stewart,D,AL,96th,1/1/1981,Lost reelection bid; resigned to let successor start early
Pete Williams,D,NJ,97th,3/11/1981,Bribery and conspiracy in Abscam scandal
Nicholas Brady,R,NJ,97th,12/26/1982,Appointment was expiring; resigned to let successor start early
Paul Tsongas,D,MA,98th,1/2/1985,Retired due to ill health; resigned early to give successor seniority
Dan Quayle,R,IN,101st,1/3/1989,Elected vice president
Gordon Humphrey,R,NH,101st,12/4/1990,Elected New Hampshire state senator
Pete Wilson,R,CA,102nd,1/7/1991,Elected California governor
Jocelyn Burdick,D,ND,102nd,12/14/1992,Appointment was expiring; resigned to let successor start early
Kent Conrad,D,ND,102nd,12/14/1992,Elected to North Dakota's other U.S. Senate seat
Al Gore Jr.,D,TN,102nd,1/2/1993,Elected vice president
Lloyd Bentsen,D,TX,103rd,1/20/1993,Appointed to Clinton administration
David Boren,D,OK,103rd,11/15/1994,Took a job with University of Oklahoma
Bob Packwood,R,OR,104th,10/1/1995,Sexual harassment/assault
Bob Dole,R,KS,104th,6/11/1996,To focus on his run for president
Frank Murkowski,R,AK,107th,12/2/2002,Elected Alaska governor
Jon Corzine,D,NJ,109th,1/17/2006,Elected New Jersey governor
Trent Lott,R,MS,110th,12/18/2007,"""Time left to do something else""; founded a lobbying firm"
Barack Obama,D,IL,110th,11/16/2008,Elected president
Joe Biden,D,DE,111th,1/15/2009,Elected vice president
Ken Salazar,D,CO,111th,1/20/2009,Appointed to Obama administration
Hillary Clinton,D,NY,111th,1/21/2009,Appointed to Obama administration
Mel Martinez,R,FL,111th,9/9/2009,"""To move on,"" spend time with family; later joined lobbying firm"
John Ensign,R,NV,112th,5/3/2011,Ethics investigation into extramarital affair
Jim DeMint,R,SC,112th,1/1/2013,Took a job with the Heritage Foundation
John Kerry,D,MA,113th,2/1/2013,Appointed to Obama administration
Max Baucus,D,MT,113th,2/6/2014,Appointed to Obama administration
Tom Coburn,R,OK,113th,1/3/2015,"Self-imposed term limits/""shifting my focus elsewhere"""
Jeff Sessions,R,AL,115th,2/8/2017,Appointed to Trump administration
Al Franken,D,MN,115th,1/2/2018,Sexual harassment/groping/unwanted kissing
